Customer_ID,First_Name,Last_Name,Email,Phone_Number,Preferred_Cuisine,Favorite_Food_Item,Visit_Frequency,Avg_Spend_Per_Visit_USD,Preferred_Order_Type,Loyalty_Member,Satisfaction_Rating
1001,Amit,Sharma,amit.sharma1001@example.com,+91-9876543001,Mexican,Butter Chicken & Naan,Weekly,13.33,Takeaway,Yes,3.8
1002,Priya,Patel,priya.patel1002@example.com,+91-9876543002,Mexican,,Weekly,43.3,Dine-in,Yes,3.6
1003,Rahul,Verma,rahul.verma1003@example.com,+91-9876543003,Continental,Grilled Margherita Pizza Chicken Salad,Weekly,41.75,Delivery,No,3.8
1004,Sneha,Gupta,sneha.gupta1004@example.com,+91-9876543004,Chinese,Margherita Pizza,Weekly,52.22,Dine-in,No,4.0
1005,Vikram,Singh,vikram.singh1005@example.com,+91-9876543005,Italian,Veg Hakka Noodles,Monthly,17.42,Takeaway,Yes,4.0
1006,Ananya,Reddy,ananya.reddy1006@example.com,+91-9876543006,Continental,Masala Dosa,Monthly,54.78,Delivery,No,4.3
1007,Rohan,Mehta,rohan.mehta1007@example.com,+91-9876543007,North Indian,Butter Chicken & Naan,Monthly,55.96,Delivery,No,4.4
1008,Neha,Joshi,neha.joshi1008@example.com,+91-9876543008,North Indian,Masala Dosa,Bi-weekly,52.97,Dine-in,Yes,4.8
1009,Karan,Malhotra,karan.malhotra1009@example.com,+91-9876543009,Chinese,Margherita Pizza,Occasional,45.69,Takeaway,Yes,4.1
1010,Pooja,Nair,pooja.nair1010@example.com,+91-9876543010,Mexican,Margherita Pizza,Monthly,49.2,Delivery,Yes,4.4
1011,Aarav,Kaur,aarav.kaur1011@example.com,+91-9876543011,Continental,Grilled Chicken Salad,Bi-weekly,20.66,Takeaway,No,5.0
1012,Diya,Sengupta,diya.sengupta1012@example.com,+91-9876543012,Italian,Veg Hakka Noodles,Monthly,56.67,Dine-in,Yes,4.7
1013,Siddharth,Rao,siddharth.rao1013@example.com,+91-9876543013,South Indian,Masala Dosa,Monthly,15.51,Delivery,No,3.8
1014,Ishaan,Chawla,ishaan.chawla1014@example.com,+91-9876543014,South Indian,Grilled Chicken Salad,Occasional,19.57,Dine-in,Yes,4.6
1015,Kavya,Bhasin,kavya.bhasin1015@example.com,+91-9876543015,Chinese,Margherita Pizza,Occasional,59.58,Takeaway,No,3.8
1016,Arjun,Deshmukh,arjun.deshmukh1016@example.com,+91-9876543016,Continental,Margherita Pizza,Occasional,16.82,Dine-in,Yes,3.7
1017,Riya,Kapoor,riya.kapoor1017@example.com,+91-9876543017,Asian Fusion,Masala Dosa,Occasional,43.61,Takeaway,No,4.4
1018,Aditya,Bhatt,aditya.bhatt1018@example.com,+91-9876543018,Continental,Grilled Chicken Salad,Monthly,63.47,Dine-in,Yes,4.5
1019,Meera,Iyer,meera.iyer1019@example.com,+91-9876543019,Asian Fusion,Margherita Pizza,Monthly,52.74,Takeaway,Yes,3.9
1020,Yash,Saxena,yash.saxena1020@example.com,+91-9876543020,South Indian,Margherita Pizza,Weekly,62.55,Delivery,No,5.0
1021,Aanya,Chopra,aanya.chopra1021@example.com,+91-9876543021,Continental,Margherita Pizza,Weekly,58.14,Takeaway,Yes,3.7
1022,Kabir,Dutta,kabir.dutta1022@example.com,+91-9876543022,Continental,Veg Hakka Noodles,Weekly,43.74,Takeaway,Yes,3.7
1023,Tanvi,Garg,tanvi.garg1023@example.com,+91-9876543023,Asian Fusion,Masala Dosa,Monthly,24.69,Dine-in,Yes,3.6
1024,Dev,Nambiar,dev.nambiar1024@example.com,+91-9876543024,Asian Fusion,Masala Dosa,Weekly,63.83,Delivery,Yes,3.7
1025,Sanya,Ahuja,sanya.ahuja1025@example.com,+91-9876543025,Continental,Grilled Chicken Salad,Bi-weekly,26.05,Delivery,No,4.9
1026,Vivaan,Jain,vivaan.jain1026@example.com,+91-9876543026,Asian Fusion,Grilled Chicken Salad,Bi-weekly,49.79,Takeaway,No,4.2
1027,Anushka,Pandey,anushka.pandey1027@example.com,+91-9876543027,South Indian,Grilled Chicken Salad,Weekly,25.14,Dine-in,No,3.5
1028,Aarush,Aggarwal,aarush.aggarwal1028@example.com,+91-9876543028,Italian,Butter Chicken & Naan,Bi-weekly,12.38,Delivery,Yes,3.8
1029,Kriti,Sinha,kriti.sinha1029@example.com,+91-9876543029,Asian Fusion,Margherita Pizza,Monthly,15.76,Dine-in,No,4.5
1030,Dhruv,Shetty,dhruv.shetty1030@example.com,+91-9876543030,Continental,Masala Dosa,Bi-weekly,50.34,Delivery,No,3.9
1031,Prisha,Tiwari,prisha.tiwari1031@example.com,+91-9876543031,Asian Fusion,Masala Dosa,Occasional,22.09,Dine-in,No,4.0
1032,Harsh,Bansal,harsh.bansal1032@example.com,+91-9876543032,South Indian,Veg Hakka Noodles,Weekly,47.69,Delivery,Yes,3.6
1033,Avani,Pillai,avani.pillai1033@example.com,+91-9876543033,Asian Fusion,Margherita Pizza,Weekly,25.18,Dine-in,No,3.7
1034,Reyansh,Mishra,reyansh.mishra1034@example.com,+91-9876543034,Chinese,Grilled Chicken Salad,Occasional,25.24,Dine-in,No,4.7
1035,Shreya,Ghosh,shreya.ghosh1035@example.com,+91-9876543035,North Indian,Margherita Pizza,Weekly,46.56,Delivery,Yes,5.0
1036,Madhav,Menon,madhav.menon1036@example.com,+91-9876543036,Italian,Margherita Pizza,Occasional,37.74,Dine-in,No,4.9
1037,Tara,Kulkarni,tara.kulkarni1037@example.com,+91-9876543037,South Indian,Grilled Chicken Salad,Weekly,64.22,Takeaway,No,3.9
1038,Shaurya,Varma,shaurya.varma1038@example.com,+91-9876543038,Mexican,Grilled Chicken Salad,Occasional,20.2,Takeaway,Yes,5.0
1039,Aditi,Tripathi,aditi.tripathi1039@example.com,+91-9876543039,Mexican,Grilled Chicken Salad,Weekly,51.64,Dine-in,Yes,4.4
1040,Veer,Thakur,veer.thakur1040@example.com,+91-9876543040,Asian Fusion,Butter Chicken & Naan,Bi-weekly,15.01,Delivery,Yes,4.8
1041,Kiara,Grover,kiara.grover1041@example.com,+91-9876543041,Continental,Grilled Chicken Salad,Weekly,47.79,Dine-in,No,3.7
1042,Rudra,Roy,rudra.roy1042@example.com,+91-9876543042,Italian,Margherita Pizza,Weekly,44.83,Takeaway,No,4.9
1043,Ira,Narang,ira.narang1043@example.com,+91-9876543043,Mexican,Veg Hakka Noodles,Monthly,24.65,Takeaway,Yes,4.5
1044,Parth,Shukla,parth.shukla1044@example.com,+91-9876543044,South Indian,Grilled Chicken Salad,Monthly,61.24,Dine-in,Yes,4.2
1045,Anvi,Dewan,anvi.dewan1045@example.com,+91-9876543045,North Indian,Veg Hakka Noodles,Weekly,40.49,Delivery,No,3.7
1046,Nikhil,Goyal,nikhil.goyal1046@example.com,+91-9876543046,North Indian,Veg Hakka Noodles,Bi-weekly,31.58,Dine-in,No,4.8
1047,Riddhika,Dhar,riddhika.dhar1047@example.com,+91-9876543047,Continental,Butter Chicken & Naan,Weekly,47.4,Delivery,No,4.9
1048,Tanish,Hegde,tanish.hegde1048@example.com,+91-9876543048,Italian,Grilled Chicken Salad,Monthly,18.12,Dine-in,Yes,3.9
1049,Navya,Kashyap,navya.kashyap1049@example.com,+91-9876543049,Italian,Veg Hakka Noodles,Monthly,22.79,Delivery,No,4.3
1050,Samarth,Sood,samarth.sood1050@example.com,+91-9876543050,Asian Fusion,Veg Hakka Noodles,Weekly,16.89,Takeaway,No,3.6
1051,Amit,Sharma,amit.sharma1051@example.com,+91-9876543051,Asian Fusion,Grilled Chicken Salad,Bi-weekly,45.77,Takeaway,Yes,4.6
1052,Priya,Patel,priya.patel1052@example.com,+91-9876543052,Mexican,Margherita Pizza,Occasional,41.73,Dine-in,Yes,4.9
1053,Rahul,Verma,rahul.verma1053@example.com,+91-9876543053,Continental,Butter Chicken & Naan,Weekly,56.23,Delivery,Yes,4.1
1054,Sneha,Gupta,sneha.gupta1054@example.com,+91-9876543054,Chinese,Margherita Pizza,Monthly,59.65,Dine-in,No,3.8
1055,Vikram,Singh,vikram.singh1055@example.com,+91-9876543055,Mexican,Margherita Pizza,Weekly,30.74,Delivery,No,5.0
1056,Ananya,Reddy,ananya.reddy1056@example.com,+91-9876543056,Italian,Veg Hakka Noodles,Bi-weekly,63.74,Dine-in,No,3.5
1057,Rohan,Mehta,rohan.mehta1057@example.com,+91-9876543057,Asian Fusion,Butter Chicken & Naan,Occasional,54.52,Delivery,Yes,3.9
